m1_surv,m2_surv
0.63797,0.89936
0.63737,0.89936
0.63677,0.89936
0.63617,0.89936
0.63557,0.89936
0.63496,0.89936
0.63436,0.89936
0.63377,0.89936
0.63317,0.89936
0.63257,0.89867
0.63197,0.89867
0.63137,0.89867
0.63078,0.89867
0.63018,0.89867
0.62959,0.89867
0.62899,0.89867
0.6284,0.89867
0.6278,0.89867
0.62721,0.89867
0.62662,0.89867
0.62603,0.89867
0.62543,0.89797
0.62484,0.89797
0.62425,0.89797
0.62366,0.89797
0.62307,0.89797
0.62249,0.89797
0.6219,0.89797
0.62131,0.89797
0.62072,0.89797
0.62014,0.89797
0.61955,0.89797
0.61896,0.89797
0.61838,0.89797
0.6178,0.89727
0.61721,0.89658
0.61663,0.89658
0.61605,0.89658
0.61546,0.89658
0.61488,0.89588
0.6143,0.89588
0.61372,0.89588
0.61314,0.89588
0.61256,0.89588
0.61198,0.89588
0.61141,0.89518
0.61083,0.89518
0.61025,0.89518
0.60967,0.89518
0.6091,0.89448
0.60852,0.89448
0.60795,0.89448
0.60737,0.89448
0.6068,0.89448
0.60623,0.89448
0.60565,0.89448
0.60508,0.89448
0.60451,0.89448
0.60394,0.89448
0.60337,0.89448
0.6028,0.89448
0.60223,0.89448
0.60166,0.89448
0.60109,0.89448
0.60052,0.89448
0.59996,0.89448
0.59939,0.89448
0.59882,0.89448
0.59826,0.89448
0.59769,0.89448
0.59713,0.89448
0.59656,0.89448
0.596,0.89448
0.59544,0.89448
0.59487,0.89448
0.59431,0.89378
0.59375,0.89378
0.59319,0.89378
0.59263,0.89378
0.59207,0.89378
0.59151,0.89378
0.59095,0.89378
0.59039,0.89378
0.58984,0.89307
0.58928,0.89307
0.58872,0.89307
0.58817,0.89307
0.58761,0.89307
0.58705,0.89307
0.5865,0.89307
0.58595,0.89307
0.58539,0.89307
0.58484,0.89307
0.58429,0.89307
0.58374,0.89307
0.58318,0.89307
0.58263,0.89307
0.58208,0.89307
0.58153,0.89307
0.58098,0.89307
0.58043,0.89307
0.57989,0.89307
0.57934,0.89307
0.57879,0.89307
0.57824,0.89307
0.5777,0.89307
0.57715,0.89307
0.57661,0.89307
0.57606,0.89307
0.57552,0.89307
0.57497,0.89307
0.57443,0.89307
0.57389,0.89307
0.57335,0.89307
0.5728,0.89307
0.57226,0.89307
0.57172,0.89307
0.57118,0.89307
0.57064,0.89307
0.5701,0.89307
0.56957,0.89307
0.56903,0.89307
0.56849,0.89307
0.56795,0.89307
0.56742,0.89307
0.56688,0.89307
0.56634,0.89237
0.56581,0.89237
0.56528,0.89237
0.56474,0.89237
0.56421,0.89237
0.56367,0.89237
0.56314,0.89167
0.56261,0.89167
0.56208,0.89167
0.56155,0.89167
0.56102,0.89167
0.56049,0.89096
0.55996,0.89026
0.55943,0.89026
0.5589,0.89026
0.55837,0.89026
0.55785,0.88885
0.55732,0.88814
0.55679,0.88814
0.55627,0.88814
0.55574,0.88814
0.55522,0.88814
0.55469,0.88814
0.55417,0.88743
0.55364,0.88743
0.55312,0.88743
0.5526,0.88743
0.55208,0.88743
0.55155,0.88743
0.55103,0.88743
0.55051,0.88743
0.54999,0.88743
0.54947,0.88743
0.54895,0.88743
0.54844,0.88743
0.54792,0.88743
0.5474,0.88672
0.54688,0.88672
0.54637,0.88672
0.54585,0.88672
0.54533,0.88672
0.54482,0.88672
0.5443,0.88672
0.54379,0.88672
0.54328,0.88672
0.54276,0.88672
0.54225,0.88672
0.54174,0.88672
0.54123,0.88672
0.54072,0.88672
0.54021,0.88672
0.53969,0.88672
0.53919,0.88672
0.53868,0.88672
0.53817,0.88672
0.53766,0.88672
0.53715,0.88601
0.53664,0.88601
0.53614,0.88601
0.53563,0.88601
0.53512,0.88601
0.53462,0.88601
0.53411,0.88601
0.53361,0.88601
0.5331,0.88601
0.5326,0.88601
0.5321,0.8853
0.5316,0.8853
0.53109,0.8853
0.53059,0.8853
0.53009,0.8853
0.52959,0.88458
0.52909,0.88458
0.52859,0.88458
0.52809,0.88458
0.52759,0.88458
0.52709,0.88458
0.5266,0.88458
0.5261,0.88458
0.5256,0.88458
0.5251,0.88387
0.52461,0.88387
0.52411,0.88387
0.52362,0.88387
0.52312,0.88387
0.52263,0.88387
0.52214,0.88387
0.52164,0.88387
0.52115,0.88387
0.52066,0.88315
0.52017,0.88315
0.51967,0.88315
0.51918,0.88243
0.51869,0.88243
0.5182,0.88243
0.51771,0.88243
0.51722,0.88243
0.51674,0.88171
0.51625,0.88171
0.51576,0.88171
0.51527,0.88171
0.51479,0.88171
0.5143,0.88171
0.51381,0.88171
0.51333,0.88171
0.51284,0.88099
0.51236,0.88028
0.51188,0.87956
0.51139,0.87956
0.51091,0.87884
0.51043,0.87884
0.50994,0.87884
0.50946,0.87811
0.50898,0.87811
0.5085,0.87739
0.50802,0.87739
0.50754,0.87739
0.50706,0.87739
0.50658,0.87667
0.5061,0.87667
0.50563,0.87667
0.50515,0.87667
0.50467,0.87667
0.50419,0.87667
0.50372,0.87667
0.50324,0.87667
0.50277,0.87667
0.50229,0.87667
0.50182,0.87667
0.50134,0.87667
0.50087,0.87667
0.5004,0.87667
0.49992,0.87667
0.49945,0.87667
0.49898,0.87667
0.49851,0.87667
0.49804,0.87667
0.49757,0.87667
0.4971,0.87667
0.49663,0.87667
0.49616,0.87667
0.49569,0.87667
0.49522,0.87667
0.49476,0.87667
0.49429,0.87667
0.49382,0.87667
0.49335,0.87667
0.49289,0.87667
0.49242,0.87595
0.49196,0.87595
0.49149,0.87595
0.49103,0.87595
0.49057,0.87595
0.4901,0.87523
0.48964,0.87523
0.48918,0.87523
0.48871,0.87523
0.48825,0.87523
0.48779,0.87523
0.48733,0.87523
0.48687,0.87451
0.48641,0.87451
0.48595,0.87451
0.48549,0.87378
0.48503,0.87378
0.48458,0.87378
0.48412,0.87378
0.48366,0.87378
0.4832,0.87378
0.48275,0.87306
0.48229,0.87306
0.48184,0.87306
0.48138,0.87306
0.48093,0.87306
0.48047,0.87306
0.48002,0.87306
0.47957,0.87306
0.47911,0.87306
0.47866,0.87306
0.47821,0.87306
0.47776,0.87306
0.4773,0.87306
0.47685,0.87306
0.4764,0.87234
0.47595,0.87234
0.4755,0.87234
0.47506,0.87161
0.47461,0.87161
0.47416,0.87161
0.47371,0.87161
0.47326,0.87089
0.47282,0.87089
0.47237,0.87016
0.47192,0.87016
0.47148,0.87016
0.47103,0.87016
0.47059,0.86943
0.47014,0.86943
0.4697,0.86943
0.46926,0.86943
0.46881,0.86943
0.46837,0.86871
0.46793,0.86871
0.46749,0.86871
0.46704,0.86871
0.4666,0.86871
0.46616,0.86871
0.46572,0.86871
0.46528,0.86871
0.46484,0.86871
0.4644,0.86871
0.46396,0.86871
0.46353,0.86871
0.46309,0.86871
0.46265,0.86798
0.46221,0.86798
0.46178,0.86798
0.46134,0.86798
0.46091,0.86798
0.46047,0.86798
0.46004,0.86798
0.4596,0.86725
0.45917,0.86725
0.45873,0.86725
0.4583,0.86725
0.45787,0.86725
0.45744,0.86652
0.457,0.86652
0.45657,0.86652
0.45614,0.86652
0.45571,0.86652
0.45528,0.86652
0.45485,0.86652
0.45442,0.86579
0.45399,0.86579
0.45356,0.86579
0.45313,0.86579
0.45271,0.86579
0.45228,0.86579
0.45185,0.86579
0.45142,0.86505
0.451,0.86505
0.45057,0.86505
0.45015,0.86505
0.44972,0.86505
0.4493,0.86505
0.44887,0.86505
0.44845,0.86505
0.44802,0.86505
0.4476,0.86432
0.44718,0.86432
0.44676,0.86432
0.44633,0.86432
0.44591,0.86359
0.44549,0.86359
0.44507,0.86359
0.44465,0.86359
0.44423,0.86359
0.44381,0.86359
0.44339,0.86359
0.44297,0.86359
0.44256,0.86359
0.44214,0.86285
0.44172,0.86212
0.4413,0.86139
0.44089,0.86139
0.44047,0.86139
0.44005,0.86065
0.43964,0.86065
0.43922,0.86065
0.43881,0.86065
0.43839,0.86065
0.43798,0.86065
0.43757,0.86065
0.43715,0.86065
0.43674,0.86065
0.43633,0.86065
0.43592,0.86065
0.4355,0.86065
0.43509,0.86065
0.43468,0.86065
0.43427,0.86065
0.43386,0.85991
0.43345,0.85918
0.43304,0.85918
0.43263,0.85918
0.43222,0.85918
0.43182,0.85918
0.43141,0.85918
0.431,0.85918
0.43059,0.85918
0.43019,0.85918
0.42978,0.85918
0.42938,0.85844
0.42897,0.8577
0.42856,0.8577
0.42816,0.8577
0.42776,0.8577
0.42735,0.85697
0.42695,0.85697
0.42655,0.85697
0.42614,0.85697
0.42574,0.85697
0.42534,0.85697
0.42494,0.85697
0.42453,0.85697
0.42413,0.85697
0.42373,0.85697
0.42333,0.85697
0.42293,0.85697
0.42253,0.85697
0.42214,0.85697
0.42174,0.85697
0.42134,0.85697
0.42094,0.85697
0.42054,0.85697
0.42015,0.85697
0.41975,0.85697
0.41935,0.85697
0.41896,0.85697
0.41856,0.85697
0.41817,0.85623
0.41777,0.85623
0.41738,0.85623
0.41698,0.85549
0.41659,0.85549
0.41619,0.85549
0.4158,0.85475
0.41541,0.85475
0.41502,0.85475
0.41463,0.85475
0.41423,0.85475
0.41384,0.85475
0.41345,0.85475
0.41306,0.85475
