"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"41","LN(RWAITING TIME+1) - MEAN(LN(RWAITING TIME+1))",0,0,0.04573,-0.00315,0,0,4.22328,4.34687,1,1,0,0.99213,0.96834,0.93125,0.9533,"LN(RWAITING TIME+1)",0,0,0,0,0,0,4.22328,4.34687,1,1,0,0.98237,0.96642,0.94208,0.9558
"42","RDIABETES",0,0,0.24128,0.1419,0,0,0,0,1,0,0,0.99122,0.96834,0.92893,0.9533,"RDIABETES",0,0,0,0,0,0,0,0,1,0,0,0.98193,0.96578,0.94071,0.9555
"43","RDISEASE GROUP=2*RAGE",0,0,0,0.00099,0,0,0,0,1,0,0,0.99122,0.96834,0.9263,0.95277,"RDISEASE GROUP=2*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.98149,0.96578,0.93935,0.9552
"44","RDISEASE GROUP=4*RAGE",0,0,0,-0.05865,0,0,0,0,1,0,0,0.99034,0.96717,0.92588,0.95277,"RDISEASE GROUP=4*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.98106,0.96513,0.93799,0.9552
"45","RDISEASE GROUP=5*RAGE",0,0,0,0.00743,0,0,0,0,1,0,0,0.98956,0.96717,0.92435,0.95277,"RDISEASE GROUP=5*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.98062,0.96513,0.93665,0.95504
"46","RDISEASE GROUP=6*RAGE",0,0,0,0.02608,0,0,0,0,1,0,0,0.98956,0.96717,0.92322,0.95223,"RDISEASE GROUP=6*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.98018,0.96513,0.9353,0.95474
"47","RDISEASE GROUP=7*RAGE",0,0,0,0.00128,0,0,0,0,1,0,0,0.98956,0.96717,0.92196,0.95169,"RDISEASE GROUP=7*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.97975,0.96513,0.93397,0.95428
"48","RDISEASE GROUP=8*RAGE",0,0,0,-0.01243,0,0,0,0,1,0,0,0.98956,0.96717,0.92196,0.95169,"RDISEASE GROUP=8*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.97931,0.96513,0.93264,0.95428
"49","RDISEASE GROUP=9*RAGE",0,0,0,0.00117,0,0,0,0,1,0,0,0.98956,0.96717,0.92057,0.95169,"RDISEASE GROUP=9*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.97888,0.96449,0.93132,0.95428
"50","RDISEASE GROUP=10*RAGE",0,0,0,-0.00042,0,0,0,0,1,0,0,0.98781,0.96717,0.91789,0.95116,"RDISEASE GROUP=10*RAGE",0,0,0,0,0,0,0,0,1,0,0,0.97844,0.96449,0.93,0.95398
"51","LN(RMAXIMUM AFP LEVEL+1) - MEAN(LN(RMAXIMUM AFP LEVEL+1))",0.08003,0,0.05055,0,3.03361,0,3.01254,0,1,1,0,0.98703,0.96717,0.91631,0.95089,"LN(RMAXIMUM AFP LEVEL+1)",0.02473,0,0,0,3.03361,0,3.01254,0,1,1,0,0.97801,0.96449,0.92869,0.95383
"52","RMAXIMUM TUMOUR SIZE - MEAN(RMAXIMUM TUMOUR SIZE)",0.19334,0,0.24722,0,2.64273,0,2.63209,0,1,0,0,0.98703,0.96717,0.91631,0.95062,"RMAXIMUM TUMOUR SIZE",0.04589,0,0.09861,0,2.64273,0,2.63209,0,1,0,0,0.97757,0.96449,0.92738,0.95352
"53","RTWO TUMOUR",0.19005,0,0.01906,0,0,0,0,0,1,0,0,0.98703,0.96717,0.91428,0.95062,"RTWO TUMOUR",0.15309,0,0,0,0,0,0,0,1,0,0,0.97714,0.96384,0.92608,0.95352
"54","RTHREE OR MORE TUMOURS",0.01301,0,-0.35068,0,0,0,0,0,1,0,0,0.9862,0.96717,0.91228,0.95035,"RTHREE OR MORE TUMOURS",0.29088,0,0,0,0,0,0,0,1,0,0,0.9767,0.96384,0.92478,0.95337
"55","DAGE - MEAN(DAGE)",0,0,0.02,0.00633,0,0,49.1907,46.4982,1,0,0,0.9862,0.96717,0.91149,0.95035,"DAGE",0,0,0.01128,0.00881,0,0,49.1907,46.4982,1,0,0,0.97627,0.96384,0.9235,0.95322
