"","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv","parameter","m1_cancer_beta","m1_noncancer_beta","m2_cancer_beta","m2_noncancer_beta","m1_cancer_mean","m1_noncancer_mean","m2_cancer_mean","m2_noncancer_mean","power","ln_1","ln_2","m1_surv","m2_surv","m1_surv","m2_surv"
"836",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.25889,0.89275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48964,0.87523,0.35894,0.89701
"837",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.25889,0.89275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48918,0.87523,0.35853,0.89668
"838",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.25889,0.89236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48871,0.87523,0.35813,0.89652
"839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.25889,0.89236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48825,0.87523,0.35772,0.89652
"840",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.25889,0.89236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48779,0.87523,0.35731,0.89652
"841",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.2557,0.89236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48733,0.87523,0.35691,0.89652
"842",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48687,0.87451,0.35651,0.89635
"843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48641,0.87451,0.3561,0.89635
"844",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48595,0.87451,0.3557,0.89635
"845",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48549,0.87378,0.35529,0.89635
"846",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48503,0.87378,0.35489,0.89619
"847",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48458,0.87378,0.35449,0.89619
"848",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48412,0.87378,0.35409,0.89619
"849",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48366,0.87378,0.35369,0.89619
"850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4832,0.87378,0.35329,0.89619
"851",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48275,0.87306,0.35288,0.89619
"852",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48229,0.87306,0.35248,0.89619
"853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48184,0.87306,0.35209,0.89602
"854",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48138,0.87306,0.35169,0.89602
"855",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48093,0.87306,0.35129,0.89586
"856",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48047,0.87306,0.35089,0.89586
"857",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48002,0.87306,0.35049,0.89586
"858",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47957,0.87306,0.35009,0.89586
"859",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47911,0.87306,0.3497,0.89586
"860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47866,0.87306,0.3493,0.89586
"861",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47821,0.87306,0.34891,0.89586
"862",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47776,0.87306,0.34851,0.89586
"863",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4773,0.87306,0.34812,0.89586
"864",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47685,0.87306,0.34772,0.89586
"865",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4764,0.87234,0.34733,0.89586
"866",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47595,0.87234,0.34693,0.89569
"867",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24546,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4755,0.87234,0.34654,0.89552
"868",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24276,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47506,0.87161,0.34615,0.89552
"869",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24276,0.89157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47461,0.87161,0.34575,0.89552
"870",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24276,0.89117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47416,0.87161,0.34536,0.89536
"871",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.24276,0.89117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47371,0.87161,0.34497,0.89536
"872",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.23856,0.89117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47326,0.87089,0.34458,0.89536
"873",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89799,0.23856,0.89117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47282,0.87089,0.34419,0.89536
"874",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89534,0.23856,0.89077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47237,0.87016,0.3438,0.89519
"875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89534,0.23856,0.89037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47192,0.87016,0.34341,0.89503
"876",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89534,0.23649,0.89037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47148,0.87016,0.34302,0.89486
"877",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89534,0.23649,0.89037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47103,0.87016,0.34263,0.89486
"878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.23649,0.89037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47059,0.86943,0.34224,0.89486
"879",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.23649,0.89037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47014,0.86943,0.34186,0.89486
"880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.23649,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4697,0.86943,0.34147,0.8947
"881",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.23649,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46926,0.86943,0.34108,0.8947
"882",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.23649,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46881,0.86943,0.3407,0.8947
"883",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.23649,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46837,0.86871,0.34031,0.8947
"884",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46793,0.86871,0.33992,0.8947
"885",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46749,0.86871,0.33954,0.8947
"886",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46704,0.86871,0.33915,0.8947
"887",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4666,0.86871,0.33877,0.8947
"888",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46616,0.86871,0.33839,0.8947
"889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46572,0.86871,0.338,0.8947
"890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46528,0.86871,0.33762,0.8947
"891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46484,0.86871,0.33724,0.8947
"892",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4644,0.86871,0.33685,0.89453
"893",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46396,0.86871,0.33647,0.89453
"894",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46353,0.86871,0.33609,0.89453
"895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.89268,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46309,0.86871,0.33571,0.89453
"896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46265,0.86798,0.33533,0.89453
"897",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46221,0.86798,0.33495,0.89453
"898",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46178,0.86798,0.33457,0.89437
"899",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46134,0.86798,0.33419,0.89437
"900",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46091,0.86798,0.33381,0.89437
"901",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46047,0.86798,0.33343,0.89437
"902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.46004,0.86798,0.33306,0.89437
"903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4596,0.86725,0.33268,0.89437
"904",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45917,0.86725,0.3323,0.8942
"905",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45873,0.86725,0.33193,0.8942
"906",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4583,0.86725,0.33155,0.8942
"907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45787,0.86725,0.33117,0.8942
"908",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45744,0.86652,0.3308,0.89403
"909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457,0.86652,0.33042,0.89387
"910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45657,0.86652,0.33005,0.89387
"911",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45614,0.86652,0.32968,0.8937
"912",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45571,0.86652,0.3293,0.8937
"913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45528,0.86652,0.32893,0.8937
"914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45485,0.86652,0.32856,0.8937
"915",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45442,0.86579,0.32818,0.8937
"916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45399,0.86579,0.32781,0.8937
"917",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45356,0.86579,0.32744,0.8937
"918",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45313,0.86579,0.32707,0.8937
"919",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45271,0.86579,0.3267,0.8937
"920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45228,0.86579,0.32633,0.89354
"921",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45185,0.86579,0.32596,0.89337
"922",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45142,0.86505,0.32559,0.89337
"923",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.451,0.86505,0.32522,0.89337
"924",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45057,0.86505,0.32485,0.89337
"925",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45015,0.86505,0.32448,0.89337
"926",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44972,0.86505,0.32412,0.89337
"927",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4493,0.86505,0.32375,0.89337
"928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44887,0.86505,0.32338,0.89337
"929",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44845,0.86505,0.32302,0.89337
"930",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44802,0.86505,0.32265,0.89337
"931",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4476,0.86432,0.32228,0.8932
"932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44718,0.86432,0.32192,0.8932
"933",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22572,0.88876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44676,0.86432,0.32155,0.8932
"934",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88997,0.22328,0.88876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44633,0.86432,0.32119,0.8932
"935",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44591,0.86359,0.32083,0.8932
"936",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44549,0.86359,0.32046,0.89304
"937",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44507,0.86359,0.3201,0.89304
"938",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44465,0.86359,0.31974,0.89304
"939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44423,0.86359,0.31938,0.89304
"940",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44381,0.86359,0.31901,0.89304
"941",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44339,0.86359,0.31865,0.89304
"942",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44297,0.86359,0.31829,0.89304
"943",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44256,0.86359,0.31793,0.89304
"944",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88718,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44214,0.86285,0.31757,0.89304
"945",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44172,0.86212,0.31721,0.89287
"946",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4413,0.86139,0.31685,0.89271
"947",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44089,0.86139,0.31649,0.89237
"948",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44047,0.86139,0.31613,0.89237
"949",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.44005,0.86065,0.31578,0.89221
"950",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43964,0.86065,0.31542,0.89204
"951",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43922,0.86065,0.31506,0.89204
"952",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43881,0.86065,0.3147,0.89187
"953",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43839,0.86065,0.31435,0.89187
"954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.63952,0.88434,0.22328,0.88673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43798,0.86065,0.31399,0.89171
